Compound,Chemical Formula,Compounds - proteins that bind compound,Compounds - enzymes activated or inhibited,Pathways of compound,Reactions that consume compound,Reactions that produce compound,SMILES,MW
CPD0-939,C162H282N2O89P4,NA,NA,LIPA-CORESYN-PWY // LPSSYN-PWY,TRANS-RXN-236 // RXN0-5383 // RXN0-5294 // RXN-14379 // RXN-14363,TRANS-RXN-236 // RXN0-5127,CCCCCCCCCCCCCC(=O)OC(CCCCCCCCCCC)CC(=O)OC%11(C(C(OC(COC%10(C(=O)[O-])(O[CH](C(O)CO)C(OC8(OC(C(O)CO)C(OP([O-])([O-])=O)C(OC7(OC(C(O)COC1(OC(C(O)CO)C(O)C(O)C(O)1))C(OP([O-])(=O)[O-])C(OC6(OC(COC2(OC(CO)C(O)C(O)C(O)2))C(O)C(OC5(OC(CO)C(O)C(O)C(OC4(OC(COC3(OC(C(O)CO)C(O)C(O)C(O)3))C(O)C(O)C(O)4))5))C(O)6))C(O)7))C(O)8))C(OC9(O[CH](C(CO)O)C(O)C(O)C9)C(=O)[O-])C%10))C%11OP([O-])([O-])=O)OCC%12(OC(OP(=O)([O-])[O-])C(NC(CC(O)CCCCCCCCCCC)=O)C(OC(CC(O)CCCCCCCCCCC)=O)C(O)%12))NC(CC(OC(CCCCCCCCCCC)=O)CCCCCCCCCCC)=O),3813.733505
CPD0-2258,C157H271N2O84P4,NA,NA,NA,NA,NA,CCCCCCCCCCCCCC(=O)OC(CC(OC%11(C(C(OCC1(OC(OP(=O)([O-])[O-])C(NC(=O)CC(O)CCCCCCCCCCC)C(OC(=O)CC(O)CCCCCCCCCCC)C(O)1))OC(COC%10(C(=O)[O-])(OC(C(OC6(C(O)C(OC5(C(O)C(OC3(C(O)C(C(O)C(COC2(C(O)C(C(O)C(CO)O2)O))O3)O))C(OP([O-])(=O)[O-])C(C(O)COC4(C(O)C(O)C(O)C(C(O)CO)O4))O5))C(OP([O-])(=O)[O-])C(C(O)CO)O6))C(OC8(C(=O)[O-])(CC(C(OC7(OC(C(O)C(O)C(O)7)C))C(C(O)CO)O8)OC9(C(=O)[O-])(CC(C(O)C(C(O)CO)O9)O)))C%10)C(O)CO))C%11OP([O-])([O-])=O)NC(CC(CCCCCCCCCCC)OC(CCCCCCCCCCC)=O)=O))=O)CCCCCCCCCCC,3663.680681
CPD0-938,C155H270N2O83P4,NA,NA,LIPA-CORESYN-PWY // LPSSYN-PWY,RXN0-5127,RXN0-5126,CCCCCCCCCCCCCC(=O)OC(CC(OC2(C(C(OCC1(OC(OP([O-])(=O)[O-])C(NC(=O)CC(O)CCCCCCCCCCC)C(OC(=O)CC(O)CCCCCCCCCCC)C(O)1))OC(C2OP([O-])([O-])=O)COC%11(C([O-])=O)(OC(C(O)CO)C(OC9(OC(C(CO)O)C(C(OC8(OC(C(COC3(OC(C(CO)O)C(C(O)C3O)O))O)C(C(OC5(C(C(C(C(COC4(OC(CO)C(O)C(O)C(O)4))O5)O)OC6(C(C(C(C(CO)O6)O)O)OC7(C(O)C(C(C(CO)O7)O)O)))O))C8O)OP([O-])(=O)[O-]))C9O)OP([O-])(=O)[O-]))C(OC%10(C(=O)[O-])(OC(C(O)CO)C(O)C(O)C%10))C%11))NC(CC(CCCCCCCCCCC)OC(CCCCCCCCCCC)=O)=O))=O)CCCCCCCCCCC,3621.670117
CPD0-2280,C157H255N3O82P2,NA,NA,NA,NA,NA,CC(C)=CCCC(C)=CCCC(C)=CCCC(=CCCC(=CCCC(=CCCC(C)=CCCC(=CCCC(=CCCC(=CCCC(=CCOP([O-])(=O)OP([O-])(=O)OC%14(OC(C(O)C(OC%13(C(OC(C)=O)C(OC%12(OC(COC%11(C(OC9(OC(C(O)C(OC8(C(OC(C)=O)C(OC7(OC(COC6(C(OC4(OC(C(O)C(OC3(C(OC(C)=O)C(OC2(OC(COC1(C(O)C(O)[CH](C(CO)O)O1))C(O)C(O)C(O)2))C(O)C(C)O3))C(NC(=O)C)4)COC5(C(O)C(O)C(O)C(CO)O5)))C(O)[CH](C(CO)O)O6))C(O)C(O)C(O)7))C(O)C(C)O8))C(NC(=O)C)9)COC%10(C(O)C(O)C(O)C(CO)O%10)))C(O)[CH](C(CO)O)O%11))C(O)C(O)C(O)%12))C(O)C(C)O%13))C(NC(=O)C)%14)COC%15(C(O)C(O)C(O)C(CO)O%15)))C)C)C)C)C)C)C,3558.550777
CPD0-2247,C151H261N2O79P4,NA,NA,NA,NA,NA,CCCCCCCCCCCCCC(=O)OC(CC(OC%10(C(C(OCC1(OC(OP(=O)([O-])[O-])C(NC(=O)CC(O)CCCCCCCCCCC)C(OC(=O)CC(O)CCCCCCCCCCC)C(O)1))OC(COC9(C(=O)[O-])(OC(C(OC5(C(O)C(OC4(C(O)C(OC2(C(O)C(C(O)C(CO)O2)O))C(OP([O-])(=O)[O-])C(C(O)COC3(C(O)C(O)C(O)C(C(O)CO)O3))O4))C(OP([O-])(=O)[O-])C(C(O)CO)O5))C(OC7(C(=O)[O-])(CC(C(OC6(OC(C(O)C(O)C(O)6)C))C(C(O)CO)O7)OC8(C(=O)[O-])(CC(C(O)C(C(O)CO)O8)O)))C9)C(O)CO))C%10OP([O-])([O-])=O)NC(CC(CCCCCCCCCCC)OC(CCCCCCCCCCC)=O)=O))=O)CCCCCCCCCCC,3501.627858
CPD0-937,C149H260N2O78P4,NA,NA,LIPA-CORESYN-PWY // LPSSYN-PWY,RXN0-5126,RXN0-5125,CCCCCCCCCCCCCC(=O)OC(CC(OC2(C(C(OCC1(OC(OP([O-])(=O)[O-])C(NC(=O)CC(O)CCCCCCCCCCC)C(OC(=O)CC(O)CCCCCCCCCCC)C(O)1))OC(C2OP([O-])([O-])=O)COC%10(C([O-])=O)(OC(C(O)CO)C(OC8(OC(C(CO)O)C(C(OC7(OC(C(COC3(OC(C(CO)O)C(C(O)C3O)O))O)C(C(OC5(C(C(C(C(COC4(OC(CO)C(O)C(O)C(O)4))O5)O)OC6(C(C(C(C(CO)O6)O)O)O))O))C7O)OP([O-])(=O)[O-]))C8O)OP([O-])(=O)[O-]))C(OC9(C(=O)[O-])(OC(C(O)CO)C(O)C(O)C9))C%10))NC(CC(CCCCCCCCCCC)OC(CCCCCCCCCCC)=O)=O))=O)CCCCCCCCCCC,3459.617293
CPD-12301,C143H234N42O37S7,NA,CPLX0-8178,NA,NA,NA,CCC(C)C(C(NC(=CC)C(NC1(C(NC(C(NC(=C)C(NC(CC(C)C)C(NC(CSC1)C(NC7(C(C)SCC(C(NC(C(NC6(C(NCC(NC(C)C(NC(C(NC(CCSC)C(NCC(NC(C(NC(C(NC(C(NC(C(NC5(C(NC(C)C(NC4(C(NC(C(NC(CC2(=C[N+]=CN2))C(NC(C(NC(CO)C(NC(C(NC(C(NC(C(NC(=C)C(NC(C(=O)[O-])CCCC[N+])=O)=O)C(C)C)=O)CC3(=CN=CN3))=O)C(C)CC)=O)=O)CSC(C)4)=O)=O)CSC(C)5)=O))=O)=O))=O)CCCC[N+])=O)CCSC)=O)CC(N)=O)=O)CSC(C)6)=O)=O)=O)CC(C)C)=O)=O)=O))=O)CCCC[N+])=O)NC(CNC(C8(CCCN(C7=O)8))=O)=O))=O)=O)=O)=O)C(C)CC)=O))=O)=O)[N+],3356.584327
CPD0-2138,C151H234N12O67P2,NA,NA,NA,NA,NA,CC(C)=CCCC(C)=CCCC(C)=CCCC(=CCCC(=CCCC(=CCCC(C)=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)([O-])OP(=O)([O-])OC%12(OC(CO)C(OC%11(OC(C(=O)[O-])C(OC%10(OC(C)C(NC(C)=O)C(OC9(OC(CO)C(OC8(OC(C(=O)[O-])C(OC7(OC(C)C(NC(C)=O)C(OC6(OC(CO)C(OC5(OC(C(=O)[O-])C(OC4(OC(C)C(NC(C)=O)C(OC3(OC(CO)C(OC2(OC(C(=O)[O-])C(OC1(OC(C)C(NC(C)=O)C(O)C(O)1))C(O)C(NC(C)=O)2))C(O)C(NC(C)=O)3))C(O)4))C(O)C(NC(C)=O)5))C(O)C(NC(C)=O)6))C(O)7))C(O)C(NC(C)=O)8))C(O)C(NC(C)=O)9))C(O)%10))C(O)C(NC(C)=O)%11))C(O)C(NC(C)=O)%12))C)C)C)C)C)C)C,3355.521698
CPD0-2295,C145H251N2O74P4,NA,NA,NA,NA,NA,CCCCCCCCCCCCCC(=O)OC(CC(OC9(C(C(OCC1(OC(OP([O-])(=O)[O-])C(NC(=O)CC(O)CCCCCCCCCCC)C(OC(=O)CC(CCCCCCCCCCC)O)C(O)1))OC(COC8(C(=O)[O-])(OC(C(OC4(C(O)C(OC3(C(O)C(O)C(OP([O-])(=O)[O-])C(C(O)COC2(C(O)C(O)C(O)C(C(O)CO)O2))O3))C(OP([O-])(=O)[O-])C(C(O)CO)O4))C(OC6(C(=O)[O-])(CC(C(OC5(OC(C(O)C(O)C(O)5)C))C(C(O)CO)O6)OC7(C(=O)[O-])(CC(C(O)C(C(O)CO)O7)O)))C8)C(O)CO))C9OP([O-])([O-])=O)NC(CC(CCCCCCCCCCC)OC(CCCCCCCCCCC)=O)=O))=O)CCCCCCCCCCC,3339.575034
CPD0-936,C143H250N2O73P4,NA,NA,LIPA-CORESYN-PWY // LPSSYN-PWY,RXN0-5125,RXN0-5124,CCCCCCCCCCCCCC(=O)OC(CC(OC2(C(C(OCC1(OC(OP([O-])(=O)[O-])C(NC(=O)CC(O)CCCCCCCCCCC)C(OC(=O)CC(O)CCCCCCCCCCC)C(O)1))OC(C2OP([O-])([O-])=O)COC9(C([O-])=O)(OC(C(O)CO)C(OC7(OC(C(CO)O)C(C(OC6(OC(C(COC3(OC(C(CO)O)C(C(O)C3O)O))O)C(C(OC5(C(C(C(C(COC4(OC(CO)C(O)C(O)C(O)4))O5)O)O)O))C6O)OP([O-])(=O)[O-]))C7O)OP([O-])(=O)[O-]))C(OC8(C(=O)[O-])(OC(C(O)CO)C(O)C(O)C8))C9))NC(CC(CCCCCCCCCCC)OC(CCCCCCCCCCC)=O)=O))=O)CCCCCCCCCCC,3297.56447
CPD0-2257,C139H241N2O70P4,NA,NA,NA,NA,NA,CCCCCCCCCCCCCC(=O)OC(CC(OC8(C(C(OCC1(OC(OP(=O)([O-])[O-])C(NC(=O)CC(O)CCCCCCCCCCC)C(OC(=O)CC(O)CCCCCCCCCCC)C(O)1))OC(COC7(C(=O)[O-])(OC(C(OC4(C(O)C(OC3(C(O)C(O)C(OP([O-])(=O)[O-])C(C(O)COC2(C(O)C(O)C(O)C(C(O)CO)O2))O3))C(OP([O-])(=O)[O-])C(C(O)CO)O4))C(OC5(C(=O)[O-])(CC(C(O)C(C(O)CO)O5)OC6(C(=O)[O-])(CC(C(O)C(C(O)CO)O6)O)))C7)C(CO)O))C8OP([O-])([O-])=O)NC(CC(CCCCCCCCCCC)OC(CCCCCCCCCCC)=O)=O))=O)CCCCCCCCCCC,3193.517126
CPD0-935,C137H240N2O68P4,NA,NA,LIPA-CORESYN-PWY // LPSSYN-PWY,RXN0-5124,RXN0-5123,CCCCCCCCCCCCCC(=O)OC(CC(OC2(C(C(OCC1(OC(OP([O-])(=O)[O-])C(NC(=O)CC(O)CCCCCCCCCCC)C(OC(=O)CC(O)CCCCCCCCCCC)C(O)1))OC(C2OP([O-])([O-])=O)COC8(C([O-])=O)(OC(C(O)CO)C(OC6(OC(C(CO)O)C(C(OC5(OC(C(COC3(OC(C(CO)O)C(C(O)C3O)O))O)C(C(OC4(C(C(C(C(CO)O4)O)O)O))C5O)OP([O-])(=O)[O-]))C6O)OP([O-])(=O)[O-]))C(OC7(C(=O)[O-])(OC(C(O)CO)C(O)C(O)C7))C8))NC(CC(CCCCCCCCCCC)OC(CCCCCCCCCCC)=O)=O))=O)CCCCCCCCCCC,3135.511646
CPD0-934,C137H241N2O65P3,NA,NA,LIPA-CORESYN-PWY // LPSSYN-PWY,RXN-14361 // RXN0-5123,RXN0-5122,CCCCCCCCCCCCCC(=O)OC(CC(OC2(C(C(OCC1(OC(OP([O-])(=O)[O-])C(NC(=O)CC(O)CCCCCCCCCCC)C(OC(=O)CC(O)CCCCCCCCCCC)C(O)1))OC(C2OP([O-])([O-])=O)COC8(C([O-])=O)(OC(C(O)CO)C(OC6(OC(C(CO)O)C(C(OC5(OC(C(COC3(OC(C(CO)O)C(C(O)C3O)O))O)C(C(OC4(C(C(C(C(CO)O4)O)O)O))C5O)O))C6O)OP([O-])(=O)[O-]))C(OC7(C(=O)[O-])(OC(C(O)CO)C(O)C(O)C7))C8))NC(CC(CCCCCCCCCCC)OC(CCCCCCCCCCC)=O)=O))=O)CCCCCCCCCCC,3055.545316
CPD0-2239,C131H230N2O63P4,NA,NA,NA,NA,NA,CCCCCCCCCCCCCC(=O)OC(CC(OC2(C(C(OCC1(OC(OP([O-])(=O)[O-])C(NC(=O)CC(O)CCCCCCCCCCC)C(OC(=O)CC(O)CCCCCCCCCCC)C(O)1))OC(C2OP([O-])([O-])=O)COC7(C([O-])=O)(OC(C(O)CO)C(OC5(OC(C(CO)O)C(C(OC4(OC(C(COC3(OC(C(O)CO)C(O)C(O)C(O)3))O)C(C(O)C4O)OP([O-])(=O)[O-]))C5O)OP([O-])(=O)[O-]))C(OC6(C(=O)[O-])(OC(C(O)CO)C(O)C(O)C6))C7))NC(CC(CCCCCCCCCCC)OC(CCCCCCCCCCC)=O)=O))=O)CCCCCCCCCCC,2973.458823
